,account,search_count,balance,temp,2023-02-19,2023-02-20,2023-02-21,2023-02-22,2023-02-22-2,2023-02-23,2023-02-23-2,2023-02-24,2023-02-24 2,2023-02-25,2023-02-26,2023-02-27,2023-02-28,2023-02-28-2,2023-03-01,2023-03-02,2023-03-02-2,2023-03-03,2023-03-04
20200000000000.0,link1ayx8phxm6rkmsx8qcav2r4n7xn8huvaps5am5v,22,12622,,12622,12622,12622,12622,12622,12622,12622,12622,12622,12622,12622,12622,12622,12622,12622,12622,12622,12622,12622
20200000000000.0,link17hww0chwhysf2zdvqed0s80q22nlkpp2atnzm3,23,12167,,8902,8941,8939,15815,14196,13415,13426,13519,13533,13595,12642,12677,12690,12699,12684,12242,12098,12100,12130
20200000000000.0,link155svs6sgxe55rnvs6ghprtqu0mh69kehka00mt,23,6406,,7408,2241,2638,2480,4177,5770,5770,5919,5914,6096,6051,6078,6100,5976,6338,6349,6328,6353,6134
20200000000000.0,link19s3kdu4jhpg373zf7v542djgqwrey6mz2xu4gj,23,2174,,6315,4318,4318,4318,3868,3868,1993,1993,1886,1886,1698,1698,1698,1698,1698,2174,2174,2174,2174
20200000000000.0,link1kle0am4rwhsl8w8n7lhcxtfpgn4en4tyzvxgzl,23,3531,,3652,3667,3595,3623,3632,3552,3552,3552,3509,3509,3416,3425,3482,3514,3514,3509,3585,3585,3512
20200000000000.0,link1futjm4qspuh38mupnsagynnalvk6w93pf6r5k2,23,5590,,3444,3669,3805,3902,3968,4030,4088,4226,4248,4384,4526,4638,4738,4819,4960,5092,5119,5177,5373
20200000000000.0,link1trn4x8lgp8syzlm3242j38kwk32utm9dd2ruag,23,1142,,2150,72,71,40,40,22,22,1145,261,261,324,2302,1271,250,250,2227,1206,1206,185
20200000000000.0,link1jgljm4wdegdthpmfc74vlruuq9rr3xnklap4zm,23,2869,,1746,4747,6085,4039,49,49,0,0,0,0,0,71,318,1081,1081,1666,2176,2176,2672
,link16z64hvf6kvqtdqkljwvku2yd5huw0vaj4g77jq,8,6180,,0,0,0,0,0,0,0,0,0,0,0,0,"6,180.00",6180,6180,6180,6180,6180,6180
20200000000000.0,link16wjsayd6cskgr0xklud4ersxgz5s29fkqmjydc,23,1194,,1287,1278,1266,1266,1266,1266,1265,1265,1265,1265,1264,1264,1264,1264,1264,1264,1264,1264,1193
20200000000000.0,link1rznsenca6l9ydlkhpckrlkrlyh448tnj83vk3t,22,1133,,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133
20200000000000.0,link173glhqvwzm7akyr8qassvp747tq5e78nsd45za,23,622,,622,622,622,622,622,622,622,622,622,622,622,622,622,622,622,622,622,622,622
20200000000000.0,link1r6u5wax4rgwl9yejae6vkta7ref6sj8wrk7mn5,22,0,,533,533,533,533,533,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20200000000000.0,link15lnanydy05ldn4vhxdcr8zm5gfxl3d0c8z9q5u,22,499,,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499,499
20200000000000.0,link1sut09a7j6c9pjc0mndfelvw4jqr9ddql6uusqq,23,402,,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402,402
20200000000000.0,link1ykdy938nl36a4gju5y5y6zm9s5sw42f9kq857n,23,59,,359,285,263,227,205,205,203,203,203,182,130,92,79,79,79,79,79,79,75
20200000000000.0,link1qdyu6h07qum7qsf3slvms40vhnv794ecs2vumq,22,358,,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358,358
20200000000000.0,link133nuqa6se332wqsn5lc2vsdqzcv46vw76hhxfp,23,172,,224,224,224,224,224,224,224,224,224,224,224,224,223,172,172,172,172,172,172
20200000000000.0,link1zn0pkgcy09q29h4gy8menep00rlgjq4qhr074j,22,192,,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192,192
20200000000000.0,link149mzqlxdljndufwvlcn3ar87l8yxcxvulfhfe2,22,191,,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191
20200000000000.0,link150hpvwtggsy55ggrdspzwzp62l6nttjp2pvp7g,23,0,,188,186,245,110,87,243,243,92,92,241,42,54,123,123,22,72,72,272,221
20200000000000.0,link1se472urgsu84mxgxfgu4nlduuyludpsncwpclz,23,171,,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171,171
20200000000000.0,link1094edayh9xkhtv85rz24yakj7z9t4lvl73kzl7,22,163,,160,160,160,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163,163
20200000000000.0,link108fmapjfs66gcnpscuzeu3tf5kjwu0aqas3c20,21,127,,132,132,132,129,129,129,129,128,128,128,128,128,128,128,128,127,127,127,127
20200000000000.0,link1edhv6j4s2n30kwwsnslsm02uru0448gml7jfuv,22,122,,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,122
20200000000000.0,link10hyvzxt93qyj2qvr5d78w09hx9xeynyu0djx49,23,119,,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119,119
20200000000000.0,link1wufalnpx62c487r29an6gptq9cj8ylhfshc6le,23,182,,92,54,101,91,84,86,82,85,105,93,115,112,109,119,207,222,222,235,155
20200000000000.0,link1f3espt3ja3uy9lqv9h595yykdk83lhl4w2emlq,23,74,,78,78,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
20200000000000.0,link1av5yv2cdvklwgznmgl65quljrhecw8ggruqq8p,21,18,,54,34,34,20,9,13,46,9,51,12,12,11,15,15,36,37,61,19,68
20200000000000.0,link12mm0328g7kg2tntd80qjrr20w6035c6weeheaf,22,59,,52,53,55,58,58,58,59,56,56,56,56,56,56,24,11,12,12,12,12
